VIN,Price,manufacturer,security_codes,model,engine,check_digit,model_year,plant_code,serial_number
1FAHP2DWXBG185697,11000,1FA,H,P2D,W,X,B,G,185697
3FADP4BJ9DM207554,9800,3FA,D,P4B,J,9,D,M,207554
1FTFW1ET4CFA06631,27900,1FT,F,W1E,T,4,C,F,A06631
1FBNE3BL8EDA08223,18000,1FB,N,E3B,L,8,E,D,A08223
1FAHP2E80DG168619,18900,1FA,H,P2E,8,0,D,G,168619
3FAHP07Z07R220757,3000,3FA,H,P07,Z,0,7,R,220757
3FA6P0H93DR184970,15100,3FA,6,P0H,9,3,D,R,184970
1FMEU63E76UB57431,7200,1FM,E,U63,E,7,6,U,B57431
2FMDA58423BA47810,1800,2FM,D,A58,4,2,3,B,A47810
1FMCU0D7XBKB36020,12600,1FM,C,U0D,7,X,B,K,B36020
1FMCU0J99EUA40118,20600,1FM,C,U0J,9,9,E,U,A40118
2FMDK4KCXDBC49674,22000,2FM,D,K4K,C,X,D,B,C49674
1FTPW14V18KD24227,11900,1FT,P,W14,V,1,8,K,D24227
2FMDK3JC2BBB00751,18000,2FM,D,K3J,C,2,B,B,B00751
1FAHP3M20CL433547,13100,1FA,H,P3M,2,0,C,L,433547
1FTWW3BR3AEB14603,30000,1FT,W,W3B,R,3,A,E,B14603
1FMCU0EG1CKA17823,11900,1FM,C,U0E,G,1,C,K,A17823
1FTPW14517FA31600,14000,1FT,P,W14,5,1,7,F,A31600
3FAHP0HA3CR178796,7200,3FA,H,P0H,A,3,C,R,178796
1FMCU9DG1BKA69439,9000,1FM,C,U9D,G,1,B,K,A69439
1FAHP2F81EG183372,18700,1FA,H,P2F,8,1,E,G,183372
1FMCU0GX4DUB40731,14700,1FM,C,U0G,X,4,D,U,B40731
1FMCU0G9XDUA41557,13200,1FM,C,U0G,9,X,D,U,A41557
1FAHP3F21CL436860,6500,1FA,H,P3F,2,1,C,L,436860
1FM5K8D8XDGA44238,24200,1FM,5,K8D,8,X,D,G,A44238
1FM5K8F82DGB62071,32000,1FM,5,K8F,8,2,D,G,B62071
2FMDK3J98CBA82097,20700,2FM,D,K3J,9,8,C,B,A82097
1FMEU73E67UB80769,7400,1FM,E,U73,E,6,7,U,B80769
1FM5K8D87DGC71256,20000,1FM,5,K8D,8,7,D,G,C71256
1FAFP38353W310836,1550,1FA,F,P38,3,5,3,W,310836
