VIN,Price,manufacturer,security_codes,model,engine,check_digit,model_year,plant_code,serial_number
1FTFW1EF7EFA52709,34000,1FT,F,W1E,F,7,E,F,A52709
3FADP4EJ0BM173674,4900,3FA,D,P4E,J,0,B,M,173674
1FMJK1J50EEF49086,34900,1FM,J,K1J,5,0,E,E,F49086
1FMCU0D78CKA04827,13000,1FM,C,U0D,7,8,C,K,A04827
1FTFW1CV8AFA35549,25000,1FT,F,W1C,V,8,A,F,A35549
2FMDK4KC5DBC38226,20500,2FM,D,K4K,C,5,D,B,C38226
1FTFW1CT5EKE40487,25000,1FT,F,W1C,T,5,E,K,E40487
1FTRX14W47FA34604,5600,1FT,R,X14,W,4,7,F,A34604
2FMDK3J95CBA91355,23300,2FM,D,K3J,9,5,C,B,A91355
1FM5K8F83EGB11759,26000,1FM,5,K8F,8,3,E,G,B11759
1FTRF17213NB27494,2600,1FT,R,F17,2,1,3,N,B27494
3FA6P0HR9DR167381,17800,3FA,6,P0H,R,9,D,R,167381
1FT7W2BT6CEA68021,34300,1FT,7,W2B,T,6,C,E,A68021
1FMCU49339KC39724,9700,1FM,C,U49,3,3,9,K,C39724
1FMFU20515LA94719,8900,1FM,F,U20,5,1,5,L,A94719
1FTFW1EF1BFD40978,27500,1FT,F,W1E,F,1,B,F,D40978
1FADP3F20EL202971,12400,1FA,D,P3F,2,0,E,L,202971
1FADP3F23DL135703,10300,1FA,D,P3F,2,3,D,L,135703
1FTFW1EFXEFC35781,34700,1FT,F,W1E,F,X,E,F,C35781
1FAHP3K25CL470709,7500,1FA,H,P3K,2,5,C,L,470709
1FMCU0D73AKD39684,10400,1FM,C,U0D,7,3,A,K,D39684
1FAHP3H23CL122768,7200,1FA,H,P3H,2,3,C,L,122768
1FAHP3M20CL451627,12700,1FA,H,P3M,2,0,C,L,451627
2FMDK3KC8CBA49465,20500,2FM,D,K3K,C,8,C,B,A49465
3FA6P0K96ER138463,15300,3FA,6,P0K,9,6,E,R,138463
1FAFP4441YF148621,1750,1FA,F,P44,4,1,Y,F,148621
2FMDK3JC3CBA91172,20500,2FM,D,K3J,C,3,C,B,A91172
1FMCU0HX7DUB09844,15000,1FM,C,U0H,X,7,D,U,B09844
2FMDK3KCXABB58071,4400,2FM,D,K3K,C,X,A,B,B58071
1FTFW1EF9EKE72026,28000,1FT,F,W1E,F,9,E,K,E72026
1FADP3K20EL283749,12800,1FA,D,P3K,2,0,E,L,283749
1FTPX12535KD21597,5000,1FT,P,X12,5,3,5,K,D21597
1FTFW1CT7EFC09227,24600,1FT,F,W1C,T,7,E,F,C09227
1FTKR1AD6BPA39854,4200,1FT,K,R1A,D,6,B,P,A39854
3FAHP07127R210628,3400,3FA,H,P07,1,2,7,R,210628
1FM5K8D82DGB98717,31100,1FM,5,K8D,8,2,D,G,B98717
1FTSX21P66EC23649,10500,1FT,S,X21,P,6,6,E,C23649
3FA6P0K98DR134672,12100,3FA,6,P0K,9,8,D,R,134672
2FMGK5D86EBD05087,24800,2FM,G,K5D,8,6,E,B,D05087
1FMCU9GX6EUD29791,19000,1FM,C,U9G,X,6,E,U,D29791
1FMYU02Z35DA15817,6700,1FM,Y,U02,Z,3,5,D,A15817
3FAHP0JA4CR345905,10400,3FA,H,P0J,A,4,C,R,345905
1FADP3K20EL313929,11900,1FA,D,P3K,2,0,E,L,313929
2FMDK3AK5DBE33083,27300,2FM,D,K3A,K,5,D,B,E33083
1FMCU0DG5BKC69994,6300,1FM,C,U0D,G,5,B,K,C69994
1ZVHT82H685160441,14750,1ZV,H,T82,H,6,8,5,160441
1FMCU9HX5DUA05003,18200,1FM,C,U9H,X,5,D,U,A05003
2FMDK4KC3EBA91812,31300,2FM,D,K4K,C,3,E,B,A91812
1FTNF1CF3EKD18720,17900,1FT,N,F1C,F,3,E,K,D18720
1FTFX1ET1DFB92627,24000,1FT,F,X1E,T,1,D,F,B92627
1FAHP3HN4BW124133,4900,1FA,H,P3H,N,4,B,W,124133
1FM5K8D88DGA83359,24000,1FM,5,K8D,8,8,D,G,A83359
1FTFW1ET6BKD64304,26000,1FT,F,W1E,T,6,B,K,D64304
1FT8W3BT6BEA93137,31200,1FT,8,W3B,T,6,B,E,A93137
1FAHP2D89DG191799,11300,1FA,H,P2D,8,9,D,G,191799
2FMDK3JC3DBB11826,22900,2FM,D,K3J,C,3,D,B,B11826
1FAHP2F87FG104532,22700,1FA,H,P2F,8,7,F,G,104532
1FTSX2BR5AEB30081,28900,1FT,S,X2B,R,5,A,E,B30081
1FMZU73K85UA61450,4100,1FM,Z,U73,K,8,5,U,A61450
1FADP3F25EL314102,11500,1FA,D,P3F,2,5,E,L,314102
1FMZU73K53UC78922,2100,1FM,Z,U73,K,5,3,U,C78922
1FM5K8GTXDGB61169,28500,1FM,5,K8G,T,X,D,G,B61169
1FAHP3F22CL442439,10500,1FA,H,P3F,2,2,C,L,442439
1FTFW1EF2EKF48248,28300,1FT,F,W1E,F,2,E,K,F48248
1FMCU93Z98KD08134,8300,1FM,C,U93,Z,9,8,K,D08134
3FA6P0HR8DR158820,11600,3FA,6,P0H,R,8,D,R,158820
2FMDK39C37BB33138,11200,2FM,D,K39,C,3,7,B,B33138
1FMCU0GX4DUA92762,17200,1FM,C,U0G,X,4,D,U,A92762
1FTFW1EF1BFC96934,20000,1FT,F,W1E,F,1,B,F,C96934
1FTFX1ET7CFA37546,22500,1FT,F,X1E,T,7,C,F,A37546
1FTFW1ET8EKD46133,24500,1FT,F,W1E,T,8,E,K,D46133
1FADP3K2XEL307538,12000,1FA,D,P3K,2,X,E,L,307538
1FTPW14V89FA89173,22200,1FT,P,W14,V,8,9,F,A89173
1FMCU9J91DUC40266,20000,1FM,C,U9J,9,1,D,U,C40266
1FTRX12W06KC57246,3800,1FT,R,X12,W,0,6,K,C57246
1FM5K7D88DGB28956,23500,1FM,5,K7D,8,8,D,G,B28956
1FMCU9HX1DUA72486,14100,1FM,C,U9H,X,1,D,U,A72486
2FMDK3JC9BBB58615,18100,2FM,D,K3J,C,9,B,B,B58615
3FA6P0D94DR212975,21900,3FA,6,P0D,9,4,D,R,212975
2FMDK3KC9DBB21422,24100,2FM,D,K3K,C,9,D,B,B21422
1FMJK1K59AEA63465,19200,1FM,J,K1K,5,9,A,E,A63465
1FADP3F23DL368299,11300,1FA,D,P3F,2,3,D,L,368299
1FAHP2E80DG189213,15400,1FA,H,P2E,8,0,D,G,189213
1FTXW43R88EC08432,28500,1FT,X,W43,R,8,8,E,C08432
2FMDK3KC9DBB53044,25900,2FM,D,K3K,C,9,D,B,B53044
3FADP4AJ2EM117570,10400,3FA,D,P4A,J,2,E,M,117570
4F2YZ02Z66KM08875,3100,4F2,Y,Z02,Z,6,6,K,M08875
1FTKR1ED3BPA06417,13500,1FT,K,R1E,D,3,B,P,A06417
1FTNS2EW8CDA59593,17500,1FT,N,S2E,W,8,C,D,A59593
1FT7W2BTXBEC35110,29250,1FT,7,W2B,T,X,B,E,C35110
1FAHP35N99W101610,1900,1FA,H,P35,N,9,9,W,101610
1FADP3F24DL330435,9900,1FA,D,P3F,2,4,D,L,330435
1FM5K8B84DGB07868,23900,1FM,5,K8B,8,4,D,G,B07868
1FM5K8F81DGA12730,23900,1FM,5,K8F,8,1,D,G,A12730
1ZVBP8CF8B5158141,17900,1ZV,B,P8C,F,8,B,5,158141
1FTRX17W8XNC22625,2300,1FT,R,X17,W,8,X,N,C22625
1FM5K7B82DGB99119,18900,1FM,5,K7B,8,2,D,G,B99119
1FMHK7D88CGA46768,18000,1FM,H,K7D,8,8,C,G,A46768
1FAFP6637YK123424,1000,1FA,F,P66,3,7,Y,K,123424
3FA6P0H74ER332964,13600,3FA,6,P0H,7,4,E,R,332964
1FTFX1ET5CFA23368,29100,1FT,F,X1E,T,5,C,F,A23368
1FMZU73EX2UA06892,1400,1FM,Z,U73,E,X,2,U,A06892
1FTFW1EF1CFA98646,30250,1FT,F,W1E,F,1,C,F,A98646
1FAHP3F26CL112366,9400,1FA,H,P3F,2,6,C,L,112366
1FMZK02186GA51989,5600,1FM,Z,K02,1,8,6,G,A51989
1FM5K8D82DGC79040,26900,1FM,5,K8D,8,2,D,G,C79040
1FMCU0F79DUA92502,14400,1FM,C,U0F,7,9,D,U,A92502
3FAHP0HA0CR351688,7300,3FA,H,P0H,A,0,C,R,351688
1FMCU0GXXDUC72330,11000,1FM,C,U0G,X,X,D,U,C72330
3FA6P0LU3ER271863,17400,3FA,6,P0L,U,3,E,R,271863
3FADP4EJXDM158389,11100,3FA,D,P4E,J,X,D,M,158389
1FM5K8D87DGA48828,28000,1FM,5,K8D,8,7,D,G,A48828
1FTNF1CF8EKD17532,18400,1FT,N,F1C,F,8,E,K,D17532
1FT8W3BT5BEA98913,32900,1FT,8,W3B,T,5,B,E,A98913
1FM5K7D89DGC19346,27300,1FM,5,K7D,8,9,D,G,C19346
3FADP4AJ3EM227091,6300,3FA,D,P4A,J,3,E,M,227091
2FMDK3KC0CBA69483,20500,2FM,D,K3K,C,0,C,B,A69483
3FAHP0HA9CR165020,10000,3FA,H,P0H,A,9,C,R,165020
1FTFW1EF4EFA77549,28000,1FT,F,W1E,F,4,E,F,A77549
1ZVBP8EM1E5210631,13600,1ZV,B,P8E,M,1,E,5,210631
3FAHP0HA5CR398828,8100,3FA,H,P0H,A,5,C,R,398828
1FTFW1CT2BFA97044,16200,1FT,F,W1C,T,2,B,F,A97044
1FADP3F26DL104929,11400,1FA,D,P3F,2,6,D,L,104929
1FAHP2E86DG122552,15200,1FA,H,P2E,8,6,D,G,122552
3FA6P0D97DR208094,19000,3FA,6,P0D,9,7,D,R,208094
1FTSW21R08EA04502,20100,1FT,S,W21,R,0,8,E,A04502
1FMCU9G93EUD10486,20200,1FM,C,U9G,9,3,E,U,D10486
2FMDK4JCXABA00935,9000,2FM,D,K4J,C,X,A,B,A00935
1FTRX08L73KB66039,5600,1FT,R,X08,L,7,3,K,B66039
2FMDK3KCXEBA26286,22700,2FM,D,K3K,C,X,E,B,A26286
1FMCU0DG9CKC60197,13900,1FM,C,U0D,G,9,C,K,C60197
1FBNE3BL6EDA08429,18800,1FB,N,E3B,L,6,E,D,A08429
1FTEW1CM1CFB20576,22600,1FT,E,W1C,M,1,C,F,B20576
1FTPX12V27FB59313,11400,1FT,P,X12,V,2,7,F,B59313
1FMCU9D75AKD47502,9200,1FM,C,U9D,7,5,A,K,D47502
1FTSX21557EB44120,9000,1FT,S,X21,5,5,7,E,B44120
1FTNE24L22HA99433,1500,1FT,N,E24,L,2,2,H,A99433
1FMEU23898UA82804,18100,1FM,E,U23,8,9,8,U,A82804
1FTWW33P36EC10123,11500,1FT,W,W33,P,3,6,E,C10123
1FADP3K2XDL174259,9600,1FA,D,P3K,2,X,D,L,174259
2FMGK5C80DBD13654,23000,2FM,G,K5C,8,0,D,B,D13654
3FAHP0HG8CR289803,11500,3FA,H,P0H,G,8,C,R,289803
3FA6P0K92ER320175,19100,3FA,6,P0K,9,2,E,R,320175
1FMCU9J9XDUC90356,20800,1FM,C,U9J,9,X,D,U,C90356
3FAHP08136R113029,2650,3FA,H,P08,1,3,6,R,113029
1ZVFT84N355248904,5800,1ZV,F,T84,N,3,5,5,248904
3FA6P0H77DR330026,11300,3FA,6,P0H,7,7,D,R,330026
3FA6P0K93DR112515,11500,3FA,6,P0K,9,3,D,R,112515
1FTFX1ET0DFA96780,26900,1FT,F,X1E,T,0,D,F,A96780
1FTSS3EL3ADA56340,6100,1FT,S,S3E,L,3,A,D,A56340
2FMDK3J91DBA43563,23900,2FM,D,K3J,9,1,D,B,A43563
1FAFP23195G182050,2300,1FA,F,P23,1,9,5,G,182050
2FMDK3J96DBB43223,22700,2FM,D,K3J,9,6,D,B,B43223
1FMCU0GX6DUA03046,16400,1FM,C,U0G,X,6,D,U,A03046
2FMDK48C27BB22624,10100,2FM,D,K48,C,2,7,B,B22624
1FAHP2F83EG168761,23700,1FA,H,P2F,8,3,E,G,168761
1ZVBP8EM9E5311965,24000,1ZV,B,P8E,M,9,E,5,311965
1ZVBP8CF2D5276527,22400,1ZV,B,P8C,F,2,D,5,276527
1FMCU0GX0EUC53187,15500,1FM,C,U0G,X,0,E,U,C53187
1ZVBP8AM2D5210593,15300,1ZV,B,P8A,M,2,D,5,210593
1FAHP2E85EG166673,18400,1FA,H,P2E,8,5,E,G,166673
1FT7X2B67BEC77113,12000,1FT,7,X2B,6,7,B,E,C77113
3FA6P0H91DR130373,15300,3FA,6,P0H,9,1,D,R,130373
1FM5K8F8XEGA23839,30000,1FM,5,K8F,8,X,E,G,A23839
1FMCU9HX9DUB85456,14400,1FM,C,U9H,X,9,D,U,B85456
3FAHP0HA0CR153855,9600,3FA,H,P0H,A,0,C,R,153855
1FMCU0G92DUC01723,13300,1FM,C,U0G,9,2,D,U,C01723
3FA6P0G75DR229200,9900,3FA,6,P0G,7,5,D,R,229200
2FMDK4KC7CBA39211,24200,2FM,D,K4K,C,7,C,B,A39211
1FTSX2B56AEB40132,8500,1FT,S,X2B,5,6,A,E,B40132
2FMGK5CC0CBD09932,21800,2FM,G,K5C,C,0,C,B,D09932
1FMEU73E97UB84671,6900,1FM,E,U73,E,9,7,U,B84671
3FADP0L31CR254698,14300,3FA,D,P0L,3,1,C,R,254698
1FMCU9J99DUB94346,23300,1FM,C,U9J,9,9,D,U,B94346
2FMDK4JC5CBA86335,20700,2FM,D,K4J,C,5,C,B,A86335
1FTFW1ET3DFB03000,36400,1FT,F,W1E,T,3,D,F,B03000
3FA6P0H93ER205785,17500,3FA,6,P0H,9,3,E,R,205785
2FMHK6DT8EBD39546,34700,2FM,H,K6D,T,8,E,B,D39546
3FA6P0LU5ER323512,19800,3FA,6,P0L,U,5,E,R,323512
3FADP4FJ5CM159480,8900,3FA,D,P4F,J,5,C,M,159480
1FAHP24197G124191,2700,1FA,H,P24,1,9,7,G,124191
2FMZA5146XBB15662,1100,2FM,Z,A51,4,6,X,B,B15662
3FAHP07Z38R138989,6200,3FA,H,P07,Z,3,8,R,138989
1FMCU9EG7BKB00594,13200,1FM,C,U9E,G,7,B,K,B00594
1ZVBP8EM6D5203897,13900,1ZV,B,P8E,M,6,D,5,203897
3FA6P0HR1ER171880,14700,3FA,6,P0H,R,1,E,R,171880
1FAHP2E89DG130127,13700,1FA,H,P2E,8,9,D,G,130127
1FTFW1ET9DFB77344,24800,1FT,F,W1E,T,9,D,F,B77344
3FAHP0HG6CR421957,10750,3FA,H,P0H,G,6,C,R,421957
1FMHK8D84CGA65050,20000,1FM,H,K8D,8,4,C,G,A65050
1ZVBP8EM1D5229971,14000,1ZV,B,P8E,M,1,D,5,229971
1FAHP3FN0BW116310,8500,1FA,H,P3F,N,0,B,W,116310
1FTEX1E85AFB79236,17700,1FT,E,X1E,8,5,A,F,B79236
1FTFW1ET1CFA62087,30000,1FT,F,W1E,T,1,C,F,A62087
1ZVBP8AM2C5226324,8900,1ZV,B,P8A,M,2,C,5,226324
1FM5K7D80DGC05383,27600,1FM,5,K7D,8,0,D,G,C05383
2FMDK3KC5BBA34615,19000,2FM,D,K3K,C,5,B,B,A34615
1ZVBP8EM6E5304939,16000,1ZV,B,P8E,M,6,E,5,304939
1FTRX18L23NA91206,3000,1FT,R,X18,L,2,3,N,A91206
1FTSX21P16EA80609,4600,1FT,S,X21,P,1,6,E,A80609
1FMYU04101KF72620,2800,1FM,Y,U04,1,0,1,K,F72620
1FTWW31R58EA21755,21400,1FT,W,W31,R,5,8,E,A21755
1FMCU0C79AKB31049,7000,1FM,C,U0C,7,9,A,K,B31049
1FTPX14V18FA25178,7800,1FT,P,X14,V,1,8,F,A25178
1FTWW31P86ED42233,18500,1FT,W,W31,P,8,6,E,D42233
1FAHP3GNXBW108570,9300,1FA,H,P3G,N,X,B,W,108570
1FMCU9H98DUB72442,20300,1FM,C,U9H,9,8,D,U,B72442
1FBNE3BL4EDA77698,20300,1FB,N,E3B,L,4,E,D,A77698
1FMZU72K32ZC48658,1100,1FM,Z,U72,K,3,2,Z,C48658
1FTEX1EM5BFC20303,22600,1FT,E,X1E,M,5,B,F,C20303
1FTKR1AD0BPA33600,8700,1FT,K,R1A,D,0,B,P,A33600
1FTSE34P68DA57133,9500,1FT,S,E34,P,6,8,D,A57133
1FMEU72E06UA96320,5100,1FM,E,U72,E,0,6,U,A96320
1FAHP2KT9EG109773,26100,1FA,H,P2K,T,9,E,G,109773
1FAHP2F85EG176702,17800,1FA,H,P2F,8,5,E,G,176702
1FMCU9D7XAKB53404,7500,1FM,C,U9D,7,X,A,K,B53404
1FAHP2F82EG183431,19000,1FA,H,P2F,8,2,E,G,183431
1FADP3F21EL318230,7500,1FA,D,P3F,2,1,E,L,318230
1FM5K8B81DGB16477,16500,1FM,5,K8B,8,1,D,G,B16477
1FMCU9D78AKC16371,9700,1FM,C,U9D,7,8,A,K,C16371
1ZVBP8AM1D5253273,13500,1ZV,B,P8A,M,1,D,5,253273
1FTRE14W75HB39922,5400,1FT,R,E14,W,7,5,H,B39922
1FTYR44U98PA32686,9900,1FT,Y,R44,U,9,8,P,A32686
1FADP3K24EL296598,12000,1FA,D,P3K,2,4,E,L,296598
3FA6P0HR9DR359559,14400,3FA,6,P0H,R,9,D,R,359559
1FAHP60A32Y124154,11500,1FA,H,P60,A,3,2,Y,124154
1FTZF1720XNB20834,3500,1FT,Z,F17,2,0,X,N,B20834
3FA6P0H96DR308617,13900,3FA,6,P0H,9,6,D,R,308617
3FA6P0HR3DR222052,9900,3FA,6,P0H,R,3,D,R,222052
3FA6P0HRXDR299078,12500,3FA,6,P0H,R,X,D,R,299078
1FMRU15W23LA32400,2500,1FM,R,U15,W,2,3,L,A32400
1FMCU96H06KD36856,5000,1FM,C,U96,H,0,6,K,D36856
2FMGK5CC7CBD10124,17700,2FM,G,K5C,C,7,C,B,D10124
1FTFW1CF6BFD26707,21300,1FT,F,W1C,F,6,B,F,D26707
2FMDK3JC7DBA82685,20300,2FM,D,K3J,C,7,D,B,A82685
2FMDK4JC8DBA22145,16200,2FM,D,K4J,C,8,D,B,A22145
3FAHP0JAXCR281787,13000,3FA,H,P0J,A,X,C,R,281787
1FMCU9GX0DUC80327,14500,1FM,C,U9G,X,0,D,U,C80327
1FMCU0HX8DUC41303,18200,1FM,C,U0H,X,8,D,U,C41303
3FA6P0D90ER341605,23800,3FA,6,P0D,9,0,E,R,341605
1FTFW1EF9EFB11128,35400,1FT,F,W1E,F,9,E,F,B11128
1FADP3F29DL137150,11400,1FA,D,P3F,2,9,D,L,137150
1FMNU42S3YED60342,2500,1FM,N,U42,S,3,Y,E,D60342
2FMDK4KC4EBA91866,31600,2FM,D,K4K,C,4,E,B,A91866
1FTFX1CF6BFA47772,15500,1FT,F,X1C,F,6,B,F,A47772
2FMDK3JC1DBB64234,20500,2FM,D,K3J,C,1,D,B,B64234
1FMCU93G79KC81922,9300,1FM,C,U93,G,7,9,K,C81922
1FTFW1EF0BKD37335,32500,1FT,F,W1E,F,0,B,K,D37335
3FA6P0H7XDR213878,13400,3FA,6,P0H,7,X,D,R,213878
3FADP4BJ5EM220674,10500,3FA,D,P4B,J,5,E,M,220674
1FTFW1EF2BFC85604,27400,1FT,F,W1E,F,2,B,F,C85604
1FT7X2B69CEA49390,12400,1FT,7,X2B,6,9,C,E,A49390
2FMDK3JC6CBA69506,15700,2FM,D,K3J,C,6,C,B,A69506
1FADP3F24EL177749,9500,1FA,D,P3F,2,4,E,L,177749
3FAHP0JA2CR440639,9800,3FA,H,P0J,A,2,C,R,440639
1FMHK8D86BGA75741,23400,1FM,H,K8D,8,6,B,G,A75741
1FTNF1CF4EKD47935,18100,1FT,N,F1C,F,4,E,K,D47935
1FAHP2D99DG189155,12000,1FA,H,P2D,9,9,D,G,189155
1FT7W2BT9CEC72277,17000,1FT,7,W2B,T,9,C,E,C72277
3FAHP0HA3CR171136,7600,3FA,H,P0H,A,3,C,R,171136
3FAHP0JA5BR261557,8900,3FA,H,P0J,A,5,B,R,261557
1FMCU9DG4CKC26446,16000,1FM,C,U9D,G,4,C,K,C26446
1FTYR44E89PA59520,12600,1FT,Y,R44,E,8,9,P,A59520
3FA6P0HRXDR323251,15000,3FA,6,P0H,R,X,D,R,323251
1FAFP34N47W219814,5000,1FA,F,P34,N,4,7,W,219814
1FTDR15XXVTA79802,1000,1FT,D,R15,X,X,V,T,A79802
1FADP3L92EL212158,23300,1FA,D,P3L,9,2,E,L,212158
1FTEW1CM4EFA71540,24600,1FT,E,W1C,M,4,E,F,A71540
1FAFP34N97W250072,3200,1FA,F,P34,N,9,7,W,250072
1FAHP3N27CL173193,10500,1FA,H,P3N,2,7,C,L,173193
3FADP4EJ6EM151781,10300,3FA,D,P4E,J,6,E,M,151781
1FTNE1EW8BDA36427,10700,1FT,N,E1E,W,8,B,D,A36427
4F2CZ06124KM30075,1300,4F2,C,Z06,1,2,4,K,M30075
1FADP5CUXDL523853,18600,1FA,D,P5C,U,X,D,L,523853
1FMEU51K57UA27247,10500,1FM,E,U51,K,5,7,U,A27247
1FMCU0C74BKA87494,22500,1FM,C,U0C,7,4,B,K,A87494
1FTMF1CFXDFD78707,15400,1FT,M,F1C,F,X,D,F,D78707
3FAHP0HA1BR256054,8100,3FA,H,P0H,A,1,B,R,256054
1FADP3F21DL191137,9700,1FA,D,P3F,2,1,D,L,191137
1FAHP2JW2CG137083,19300,1FA,H,P2J,W,2,C,G,137083
1FTZF182X1NB26792,1000,1FT,Z,F18,2,X,1,N,B26792
3FAHP0GA0CR380142,8400,3FA,H,P0G,A,0,C,R,380142
1FADP3F29DL267929,11000,1FA,D,P3F,2,9,D,L,267929
1FTFX1EF1BFD24616,17000,1FT,F,X1E,F,1,B,F,D24616
1FADP3F22DL260367,9000,1FA,D,P3F,2,2,D,L,260367
1FTNE24W25HA55012,2100,1FT,N,E24,W,2,5,H,A55012
1FTFW1ET2BFC25098,23000,1FT,F,W1E,T,2,B,F,C25098
3FAHP0GA1CR321620,8500,3FA,H,P0G,A,1,C,R,321620
1FADP3K20EL296436,16500,1FA,D,P3K,2,0,E,L,296436
2FTPX18L51CA28241,2950,2FT,P,X18,L,5,1,C,A28241
3FAHP021X7R184867,5800,3FA,H,P02,1,X,7,R,184867
1FTFW1ET5CFC04604,22600,1FT,F,W1E,T,5,C,F,C04604
1FMCU0F74DUB83242,13700,1FM,C,U0F,7,4,D,U,B83242
1FADP3F2XDL355212,9200,1FA,D,P3F,2,X,D,L,355212
1FMCU0E78CKB71185,17500,1FM,C,U0E,7,8,C,K,B71185
1FAHP2F86EG163652,17900,1FA,H,P2F,8,6,E,G,163652
1ZVBP8AM3C5282448,12401,1ZV,B,P8A,M,3,C,5,282448
1FDXE45P16HA00186,2800,1FD,X,E45,P,1,6,H,A00186
1FM5K7F82EGB85104,27000,1FM,5,K7F,8,2,E,G,B85104
1FMJU1F51AEA43179,12400,1FM,J,U1F,5,1,A,E,A43179
1FM5K7D88EGA27014,25400,1FM,5,K7D,8,8,E,G,A27014
1FMCU9J96DUC18554,23700,1FM,C,U9J,9,6,D,U,C18554
1FTSW21P66EB52892,6000,1FT,S,W21,P,6,6,E,B52892
1FADP3F24EL145870,12000,1FA,D,P3F,2,4,E,L,145870
1FAFP40483F339760,2000,1FA,F,P40,4,8,3,F,339760
3FAHP0JAXCR350462,9600,3FA,H,P0J,A,X,C,R,350462
1FADP3F22DL266346,11100,1FA,D,P3F,2,2,D,L,266346
1FMCU49309KB03857,13000,1FM,C,U49,3,0,9,K,B03857
1FM5K7F83DGC50220,24300,1FM,5,K7F,8,3,D,G,C50220
1FMEU64E96UB68977,5000,1FM,E,U64,E,9,6,U,B68977
1FBSS31L23HA81428,1200,1FB,S,S31,L,2,3,H,A81428
2FMDK3JC5CBA80660,15600,2FM,D,K3J,C,5,C,B,A80660
3FADP4BJ8EM191493,9800,3FA,D,P4B,J,8,E,M,191493
1FMFU19508LA54939,12900,1FM,F,U19,5,0,8,L,A54939
3FA6P0H91DR271086,17600,3FA,6,P0H,9,1,D,R,271086
1FADP3F21DL164987,7800,1FA,D,P3F,2,1,D,L,164987
1FTNE2EW4EDA18808,21700,1FT,N,E2E,W,4,E,D,A18808
1FMCU0H93DUD36790,20800,1FM,C,U0H,9,3,D,U,D36790
3FA6P0H72DR112401,15500,3FA,6,P0H,7,2,D,R,112401
1FBSS3BL7EDA36493,22000,1FB,S,S3B,L,7,E,D,A36493
1FADP3K2XDL273275,11100,1FA,D,P3K,2,X,D,L,273275
2FMDK4JC7CBA94520,23000,2FM,D,K4J,C,7,C,B,A94520
1FMCU9HX1DUC87415,14800,1FM,C,U9H,X,1,D,U,C87415
1FADP3F24DL230142,10600,1FA,D,P3F,2,4,D,L,230142
1FMEU73E58UA73388,7400,1FM,E,U73,E,5,8,U,A73388
1FMFU16518LA62326,5100,1FM,F,U16,5,1,8,L,A62326
1FMCU0DG9BKB76038,9000,1FM,C,U0D,G,9,B,K,B76038
2FMDK36C38BB08018,6000,2FM,D,K36,C,3,8,B,B08018
1FAHP3F22CL460374,10400,1FA,H,P3F,2,2,C,L,460374
1FTLR4FE8APA76782,15600,1FT,L,R4F,E,8,A,P,A76782
3FA6P0H70ER368229,15900,3FA,6,P0H,7,0,E,R,368229
1FAHP3N22CL290499,14400,1FA,H,P3N,2,2,C,L,290499
1FMCU03Z28KA52611,8000,1FM,C,U03,Z,2,8,K,A52611
3FAFP07166R141528,4200,3FA,F,P07,1,6,6,R,141528
1FTFW1EF6BKD71165,22500,1FT,F,W1E,F,6,B,K,D71165
1FADP3F21EL151237,12200,1FA,D,P3F,2,1,E,L,151237
1FTPW14504KC27322,6300,1FT,P,W14,5,0,4,K,C27322
1FTPW12V18KC56837,15800,1FT,P,W12,V,1,8,K,C56837
1FAHP3FN7BW157758,8300,1FA,H,P3F,N,7,B,W,157758
1FADP3K29DL305178,9000,1FA,D,P3K,2,9,D,L,305178
1FAFP34N07W201181,2100,1FA,F,P34,N,0,7,W,201181
1FAFP34301W374527,1300,1FA,F,P34,3,0,1,W,374527
1FTFW1ET5CFA04743,27500,1FT,F,W1E,T,5,C,F,A04743
1ZVBP8CF3D5276567,24000,1ZV,B,P8C,F,3,D,5,276567
1FADP3F27EL272841,12800,1FA,D,P3F,2,7,E,L,272841
1FMFK15517LA69539,11400,1FM,F,K15,5,1,7,L,A69539
2FMDK3GC2CBA58719,15200,2FM,D,K3G,C,2,C,B,A58719
2FMDK3JC1CBA60177,20600,2FM,D,K3J,C,1,C,B,A60177
1FTNE24W45HA44545,3700,1FT,N,E24,W,4,5,H,A44545
1FMEU72E36UB38477,3500,1FM,E,U72,E,3,6,U,B38477
3FAHP0HAXCR324787,12300,3FA,H,P0H,A,X,C,R,324787
1FMCU9J9XEUD26595,22000,1FM,C,U9J,9,X,E,U,D26595
1FAHP2DW9CG135424,15100,1FA,H,P2D,W,9,C,G,135424
1FTNE2EW2EDA13798,19800,1FT,N,E2E,W,2,E,D,A13798
2FMGK5CC8BBD30266,18750,2FM,G,K5C,C,8,B,B,D30266
2FMDK3JC5DBA43528,19900,2FM,D,K3J,C,5,D,B,A43528
3FADP4TJ7EM162971,7100,3FA,D,P4T,J,7,E,M,162971
3FAHP0JAXCR310950,9900,3FA,H,P0J,A,X,C,R,310950
1FTFW1EV3AFB80771,25100,1FT,F,W1E,V,3,A,F,B80771
3FAHP0JA2CR267141,13900,3FA,H,P0J,A,2,C,R,267141
2FMDK4JC8CBA76561,18900,2FM,D,K4J,C,8,C,B,A76561
1FMCU9DG6BKA88052,13400,1FM,C,U9D,G,6,B,K,A88052
1FTPX14555FB19723,9700,1FT,P,X14,5,5,5,F,B19723
1FAHP2E86EG144083,19300,1FA,H,P2E,8,6,E,G,144083
